#1
ज्यायसी|jyāyasī|jyāyas — better, more excellent (comparative; nom. sg. fem., agreeing with buddhiḥ)
चेत्कर्मणस्ते|cet karmaṇaḥ te|cet — if;;karman — action (karmaṇaḥ: abl. sg., 'than action');;tvam — you (te: enclitic gen. sg. 'your, in your view'; -aḥ + t- → -as t-)
मता|matā|man — to think (matā: past participle, nom. sg. fem. 'deemed, considered')
बुद्धिर्जनार्दन|buddhiḥ janārdana|buddhi — understanding, wisdom (nom. sg.; -iḥ + j- → -ir j-);;Janārdana — 'rouser of men', an epithet of Kṛṣṇa (vocative)
--
तत्किं|tat kim|tad — that, then (tat: adverbial, 'then');;kim — why? what?
कर्मणि|karmaṇi|karman — action (loc. sg.)
घोरे|ghore|ghora — terrible, dreadful (loc. sg., agreeing with karmaṇi)
मां|mām|aham — I (mām: acc. sg. 'me')
नियोजयसि|niyojayasi|ni-yuj — to engage, urge, appoint (niyojayasi: causative present 2nd sg. 'you urge, you engage')
केशव|keśava|Keśava — epithet of Kṛṣṇa, traditionally 'slayer of the demon Keśin' (vocative)
#2
व्यामिश्रेणेव|vyāmiśreṇa iva|vyāmiśra — confused, mixed up (vyāmiśreṇa: instr. sg., 'with words that seem confused'; see note on the BORI reading);;iva — as if, seemingly (vyāmiśreṇa + iva → vyāmiśreṇeva)
वाक्येन|vākyena|vākya — word, speech (instr. sg.)
बुद्धिं|buddhim|buddhi — understanding (acc. sg.)
मोहयसीव|mohayasi iva|muh — to be confused (mohayasi: causative present 2nd sg. 'you seem to bewilder');;iva — as if (mohayasi + iva → mohayasīva)
मे|me|aham — I (me: enclitic gen. sg. 'my')
--
तदेकं|tat ekam|tad — that (tat: acc. sg. neut.);;eka — one, single (ekam: acc. sg. neut., 'that one thing')
वद|vada|vad — to speak (vada: imperative 2nd sg. 'tell!')
निश्चित्य|niścitya|ni-ci — to ascertain, decide (niścitya: gerund 'having decided for certain')
येन|yena|yad — which (yena: instr. sg. neut. relative, 'by which')
श्रेयोऽहमाप्नुयाम्|śreyaḥ aham āpnuyām|śreyas — the better thing, the good (nom. sg. neut.; -aḥ + a- → -o with avagraha);;aham — I (nom. sg.);;āp — to attain, reach (āpnuyām: optative 1st sg. 'I might attain')
#3
लोकेऽस्मिन्द्विविधा|loke asmin dvividhā|loka — world (loke: loc. sg.; loke + a- → loke ' with avagraha);;idam — this (asmin: loc. sg. masc.);;dvividha — twofold (dvividhā: nom. sg. fem.)
निष्ठा|niṣṭhā|niṣṭhā — standing, grounding, established path (nom. sg.)
पुरा|purā|purā — formerly, of old (adverb)
प्रोक्ता|proktā|pra-vac — to declare, teach (proktā: past participle, nom. sg. fem. 'declared', agreeing with niṣṭhā)
मयानघ|mayā anagha|aham — I (mayā: instr. sg. 'by me');;an-agha — sinless, faultless (anagha: vocative, addressed to Arjuna; mayā + a- → mayā-)
--
ज्ञानयोगेन|jñāna-yogena|jñāna — knowledge (first compound member);;yoga — yoga (jñāna-yoga: 'the yoga of knowledge', instr. sg.)
सांख्यानां|sāṃkhyānām|Sāṃkhya — Sāṃkhya, the path of knowledge (gen. pl. 'for the followers of Sāṃkhya'; kept untranslated per convention)
कर्मयोगेन|karma-yogena|karman — action (first compound member);;yoga — yoga (karma-yoga: 'the yoga of action', instr. sg.)
योगिनाम्|yoginām|yogin — one who practices yoga (gen. pl. 'for the yogins')
#4
न|na|na — not
कर्मणामनारम्भान्नैष्कर्म्यं|karmaṇām anārambhāt naiṣkarmyam|karman — action (karmaṇām: gen. pl.);;an-ārambha — non-undertaking, non-commencement (anārambhāt: abl. sg. 'from not undertaking');;naiṣkarmya — freedom from action, actionlessness (acc. sg. neut.; anārambhāt + n- → anārambhān n-)
पुरुषोऽश्नुते|puruṣaḥ aśnute|puruṣa — a man, a person (nom. sg.; -aḥ + a- → -o with avagraha);;aś — to attain, reach, enjoy (aśnute: present middle 3rd sg. 'attains')
--
न|na|na — not
च|ca|ca — and
संन्यसनादेव|saṃnyasanāt eva|sam-ni-as — to renounce (saṃnyasana: 'renunciation', saṃnyasanāt: abl. sg. 'from renunciation');;eva — alone, merely (saṃnyasanāt + eva → saṃnyasanād eva)
सिद्धिं|siddhim|siddhi — perfection, success, attainment (acc. sg.)
समधिगच्छति|samadhigacchati|sam-adhi-gam — to attain, reach (samadhigacchati: present 3rd sg.)
#5
न|na|na — not
हि|hi|hi — for, indeed
कश्चित्क्षणमपि|kaścit kṣaṇam api|kaścit — anyone, someone;;kṣaṇa — a moment (kṣaṇam: adverbial acc. 'for a moment');;api — even
जातु|jātu|jātu — ever, at any time (adverb)
तिष्ठत्यकर्मकृत्|tiṣṭhati akarma-kṛt|sthā — to stand, remain, exist (tiṣṭhati: present 3rd sg.; -i + a- → -y a-);;a-karma-kṛt — one who does not perform action, non-acting (nom. sg. bahuvrīhi)
--
कार्यते|kāryate|kṛ — to do, make (kāryate: causative passive present 3rd sg. 'is made to act')
ह्यवशः|hi avaśaḥ|hi — for, indeed (hi + a- → hy-);;a-vaśa — powerless, not one's own master (avaśaḥ: nom. sg.)
कर्म|karma|karman — action (acc. sg., object of kāryate)
सर्वः|sarvaḥ|sarva — all, every one (sarvaḥ: nom. sg. 'everyone')
